Geozone,LAT,LON,M1,F1,M2,F2,M3,F3,M4,F4
Westpunt,12.3699,-69.1356,343,346,18,31,0,0,361,377
Lagun,12.3554,-69.141,139,156,9,17,0,0,148,173
Christoffel,12.3318,-69.1046,17,19,0,4,0,0,17,23
Flip,12.3065,-69.1033,242,303,24,27,3,2,269,332
Tera Pretu,12.2984,-69.1422,118,121,16,15,0,1,134,137
Lelienberg,12.3044,-69.0877,504,527,29,22,11,8,544,557
Soto,12.2793,-69.1178,964,1055,86,116,6,6,1056,1177
Pannekoek,12.2508,-69.0909,145,151,28,33,4,4,177,188
Wacao,12.287,-69.062,41,49,12,5,0,0,53,54
Barber,12.2733,-69.074,996,1225,69,106,12,4,1077,1335
St. Willibrordus,12.2176,-69.0607,168,197,98,116,5,4,271,317
Tera Cora,12.2215,-69.0278,1652,1816,393,503,10,14,2055,2333
Meiberg,12.1921,-69.0168,0,0,0,0,0,0,0,0
Souax,12.1807,-68.9752,1964,1932,477,721,12,8,2453,2661
St. Michiel,12.1568,-68.9867,2198,2569,390,551,15,9,2603,3129
Piscadera Baai,12.1323,-68.966,304,342,54,82,1,4,359,428
Hato,12.2127,-69.0009,17,13,5,10,0,0,22,23
Fortuna,12.175,-68.9337,1260,1612,98,204,7,6,1365,1822
Rancho,12.1686,-68.8996,1120,1318,443,493,5,5,1568,1816
Ronde Klip,12.1568,-68.8589,273,290,56,94,2,0,331,384
Brievengat,12.1558,-68.8868,1678,2160,314,516,17,10,2009,2686
Maria Maai,12.1552,-68.9103,439,542,108,171,4,2,551,715
Muizenberg,12.1644,-68.9187,1013,1292,143,295,4,3,1160,1590
Stenen Koraal,12.1634,-68.9358,1601,1727,389,510,14,10,2004,2247
Mahuma,12.177,-68.9531,2341,2677,505,694,15,10,2861,3381
Groot Piscadera,12.1531,-68.9626,856,976,442,535,7,6,1305,1517
Paradijs,12.1457,-68.9577,834,878,202,321,5,5,1041,1204
Wanapa,12.1524,-68.944,1556,1707,366,590,15,5,1937,2302
Buena Vista,12.1447,-68.935,1556,1805,527,783,13,3,2096,2591
Kanga/Dein,12.1537,-68.9335,692,614,365,573,11,6,1068,1193
Suffisant,12.1514,-68.9229,1124,1209,462,689,11,8,1597,1906
Mon Repos,12.1436,-68.8983,1177,1329,316,491,2,2,1495,1822
Bonam,12.1432,-68.8807,2948,3278,800,1055,9,11,3757,4344
Rosendaal,12.1382,-68.9462,708,794,155,239,17,10,880,1043
Asiento,12.1315,-68.9268,0,0,0,0,0,0,0,0
Groot Kwartier,12.1371,-68.9114,890,869,361,477,6,8,1257,1354
Mahaai,12.1305,-68.8969,734,905,481,636,8,12,1223,1553
Sta. Rosa,12.1288,-68.8706,1967,2247,373,582,17,12,2357,2841
Kwarchi,12.1231,-68.8581,851,900,209,285,7,3,1067,1188
Montaña Abou,12.1125,-68.8646,1593,1995,284,492,8,10,1885,2497
Labadera,12.1243,-68.8808,845,997,334,437,9,5,1188,1439
Seru Lora,12.1141,-68.8862,945,983,373,502,5,10,1323,1495
Zeelandia,12.1186,-68.9059,148,251,115,171,0,0,263,422
Nieuwe Haven,12.1186,-68.9123,0,0,0,0,0,0,0,0
Dok,12.1223,-68.9158,0,0,0,0,0,0,0,0
Schottegat,12.1172,-68.9308,0,0,0,0,0,0,0,0
Wishi,12.1289,-68.9533,659,786,231,361,3,2,893,1149
Habaai,12.12,-68.9503,389,560,103,172,0,3,492,735
Mundo Nobo,12.116,-68.9569,899,1041,259,407,0,4,1158,1452
Domi,12.1163,-68.9441,436,498,106,196,5,6,547,700
Otrobanda,12.111,-68.937,459,459,146,300,4,1,609,760
Punda,12.1041,-68.9323,42,22,13,16,4,2,59,40
Scharloo,12.1069,-68.9289,152,165,70,134,2,0,224,299
Parera,12.9261,-68.9261,86,83,28,48,2,0,116,131
Berg Altena,12.1032,-68.9187,919,951,289,586,8,7,1216,1544
Saliña,12.1002,-68.9043,739,843,415,530,6,5,1160,1378
Dominguito,12.1008,-68.8885,981,1075,428,605,8,4,1417,1684
Rooi Santu,12.099,-68.8643,1014,1097,288,384,5,3,1307,1484
Koraal Specht,12.0905,-68.8936,1283,1173,268,321,13,6,1564,1500
Steenrijk,12.0973,-68.9121,1327,1539,328,536,14,8,1669,2083
Koraal Partier,12.1485,-68.8342,1360,1468,465,652,7,6,1832,2126
Montaña Rey,12.1053,-68.8425,1961,2342,405,580,17,2,2383,2924
Seru Grandi,12.0868,-68.8206,916,1007,142,195,10,7,1068,1209
Spaanse Water,12.0736,-68.8383,844,882,652,730,4,7,1500,1619
Oostpunt,12.0924,-68.8,218,213,53,64,5,2,276,279
