Geozone,LAT,LON,M1,F1,M2,F2,M3,F3,M4,F4
Westpunt,12.3699,-69.1356,356,366,2,9,3,2,361,377
Lagun,12.3554,-69.141,143,167,3,6,2,0,148,173
Christoffel,12.3318,-69.1046,17,22,0,1,0,0,17,23
Flip,12.3065,-69.1033,260,325,5,6,4,1,269,332
Tera Pretu,12.2984,-69.1422,132,134,2,3,0,0,134,137
Lelienberg,12.3044,-69.0877,531,545,10,6,3,6,544,557
Soto,12.2793,-69.1178,1018,1123,25,43,13,11,1056,1177
Pannekoek,12.2508,-69.0909,170,176,7,11,0,1,177,188
Wacao,12.287,-69.062,52,52,1,2,0,0,53,54
Barber,12.2733,-69.074,1039,1292,26,35,12,8,1077,1335
St. Willibrordus,12.2176,-69.0607,253,286,18,30,0,1,271,317
Tera Cora,12.2215,-69.0278,1960,2196,68,106,27,31,2055,2333
Meiberg,12.1921,-69.0168,0,0,0,0,0,0,0,0
Souax,12.1807,-68.9752,2129,2201,254,386,70,74,2453,2661
St. Michiel,12.1568,-68.9867,2455,2899,114,155,34,75,2603,3129
Piscadera Baai,12.1323,-68.966,323,384,27,32,9,12,359,428
Hato,12.2127,-69.0009,21,21,1,2,0,0,22,23
Fortuna,12.175,-68.9337,1310,1737,22,64,33,21,1365,1822
Rancho,12.1686,-68.8996,1402,1615,139,160,27,41,1568,1816
Ronde Klip,12.1568,-68.8589,304,336,20,40,7,8,331,384
Brievengat,12.1558,-68.8868,1864,2453,114,192,31,41,2009,2686
Maria Maai,12.1552,-68.9103,504,641,45,58,2,16,551,715
Muizenberg,12.1644,-68.9187,1092,1481,47,89,21,20,1160,1590
Stenen Koraal,12.1634,-68.9358,1804,1978,161,209,39,60,2004,2247
Mahuma,12.177,-68.9531,2621,3030,189,289,51,62,2861,3381
Groot Piscadera,12.1531,-68.9626,1226,1395,63,100,16,22,1305,1517
Paradijs,12.1457,-68.9577,885,972,128,194,28,38,1041,1204
Wanapa,12.1524,-68.944,1674,1931,209,318,54,53,1937,2302
Buena Vista,12.1447,-68.935,1720,2103,318,417,58,71,2096,2591
Kanga/Dein,12.1537,-68.9335,779,798,249,347,40,48,1068,1193
Suffisant,12.1514,-68.9229,1337,1530,221,325,39,51,1597,1906
Mon Repos,12.1436,-68.8983,1338,1600,134,188,23,34,1495,1822
Bonam,12.1432,-68.8807,3370,3845,336,426,51,73,3757,4344
Rosendaal,12.1382,-68.9462,768,875,93,144,19,24,880,1043
Asiento,12.1315,-68.9268,0,0,0,0,0,0,0,0
Groot Kwartier,12.1371,-68.9114,1132,1157,110,173,15,24,1257,1354
Mahaai,12.1305,-68.8969,1094,1325,116,197,13,31,1223,1553
Sta. Rosa,12.1288,-68.8706,2145,2518,166,253,46,70,2357,2841
Kwarchi,12.1231,-68.8581,954,1025,93,142,20,21,1067,1188
Montaña Abou,12.1125,-68.8646,1739,2286,124,178,22,33,1885,2497
Labadera,12.1243,-68.8808,1039,1249,126,160,23,30,1188,1439
Seru Lora,12.1141,-68.8862,1196,1297,114,166,13,32,1323,1495
Zeelandia,12.1186,-68.9059,228,360,32,59,3,3,263,422
Nieuwe Haven,12.1186,-68.9123,0,0,0,0,0,0,0,0
Dok,12.1223,-68.9158,0,0,0,0,0,0,0,0
Schottegat,12.1172,-68.9308,0,0,0,0,0,0,0,0
Wishi,12.1289,-68.9533,716,887,137,225,40,37,893,1149
Habaai,12.12,-68.9503,445,649,39,75,8,11,492,735
Mundo Nobo,12.116,-68.9569,1038,1259,102,173,18,20,1158,1452
Domi,12.1163,-68.9441,475,583,51,100,21,17,547,700
Otrobanda,12.111,-68.937,502,615,79,130,28,15,609,760
Punda,12.1041,-68.9323,52,29,2,9,5,2,59,40
Scharloo,12.1069,-68.9289,193,230,21,61,10,8,224,299
Parera,12.9261,-68.9261,103,111,9,18,4,2,116,131
Berg Altena,12.1032,-68.9187,1035,1219,143,292,38,33,1216,1544
Saliña,12.1002,-68.9043,986,1138,147,205,27,35,1160,1378
Dominguito,12.1008,-68.8885,1246,1404,132,231,39,49,1417,1684
Rooi Santu,12.099,-68.8643,1203,1307,79,137,25,40,1307,1484
Koraal Specht,12.0905,-68.8936,1439,1385,93,96,32,19,1564,1500
Steenrijk,12.0973,-68.9121,1470,1840,162,205,37,38,1669,2083
Koraal Partier,12.1485,-68.8342,1657,1845,138,227,37,54,1832,2126
Montaña Rey,12.1053,-68.8425,2183,2624,162,245,38,55,2383,2924
Seru Grandi,12.0868,-68.8206,1000,1102,64,96,4,11,1068,1209
Spaanse Water,12.0736,-68.8383,1382,1423,99,151,19,45,1500,1619
Oostpunt,12.0924,-68.8,244,237,31,34,1,8,276,279
