Geozone,LAT,LON,H1,H1
Westpunt,12.3699,-69.1356,256,2.88
Lagun,12.3554,-69.141,116,2.77
Christoffel,12.3318,-69.1046,8,5
Flip,12.3065,-69.1033,190,3.16
Tera Pretu,12.2984,-69.1422,88,3.08
Lelienberg,12.3044,-69.0877,370,2.98
Soto,12.2793,-69.1178,680,3.27
Pannekoek,12.2508,-69.0909,139,2.63
Wacao,12.287,-69.062,40,2.68
Barber,12.2733,-69.074,784,3.08
St. Willibrordus,12.2176,-69.0607,240,2.45
Tera Cora,12.2215,-69.0278,1497,2.9
Meiberg,12.1921,-69.0168,0,0
Souax,12.1807,-68.9752,1820,2.78
St. Michiel,12.1568,-68.9867,2020,2.84
Piscadera Baai,12.1323,-68.966,284,2.77
Hato,12.2127,-69.0009,16,2.81
Fortuna,12.175,-68.9337,1067,2.99
Rancho,12.1686,-68.8996,1211,2.79
Ronde Klip,12.1568,-68.8589,260,2.75
Brievengat,12.1558,-68.8868,1725,2.7
Maria Maai,12.1552,-68.9103,466,2.58
Muizenberg,12.1644,-68.9187,968,2.77
Stenen Koraal,12.1634,-68.9358,1510,2.73
Mahuma,12.177,-68.9531,2236,2.79
Groot Piscadera,12.1531,-68.9626,924,2.77
Paradijs,12.1457,-68.9577,811,2.77
Wanapa,12.1524,-68.944,1643,2.5
Buena Vista,12.1447,-68.935,1779,2.62
Kanga/Dein,12.1537,-68.9335,891,2.54
Suffisant,12.1514,-68.9229,1356,2.58
Mon Repos,12.1436,-68.8983,1274,2.57
Bonam,12.1432,-68.8807,2929,2.73
Rosendaal,12.1382,-68.9462,687,2.8
Asiento,12.1315,-68.9268,0,0
Groot Kwartier,12.1371,-68.9114,883,2.64
Mahaai,12.1305,-68.8969,1067,2.55
Sta. Rosa,12.1288,-68.8706,1830,2.7
Kwarchi,12.1231,-68.8581,835,2.7
Montaña Abou,12.1125,-68.8646,1575,2.78
Labadera,12.1243,-68.8808,978,2.65
Seru Lora,12.1141,-68.8862,1075,2.6
Zeelandia,12.1186,-68.9059,317,2.16
Nieuwe Haven,12.1186,-68.9123,0,0
Dok,12.1223,-68.9158,0,0
Schottegat,12.1172,-68.9308,0,0
Wishi,12.1289,-68.9533,830,2.46
Habaai,12.12,-68.9503,390,2.53
Mundo Nobo,12.116,-68.9569,1029,2.54
Domi,12.1163,-68.9441,487,2.56
Otrobanda,12.111,-68.937,553,2.22
Punda,12.1041,-68.9323,44,1.84
Scharloo,12.1069,-68.9289,239,2.19
Parera,12.9261,-68.9261,107,2.31
Berg Altena,12.1032,-68.9187,1109,2.46
Saliña,12.1002,-68.9043,1021,2.49
Dominguito,12.1008,-68.8885,1221,2.54
Rooi Santu,12.099,-68.8643,1065,2.62
Koraal Specht,12.0905,-68.8936,883,2.89
Steenrijk,12.0973,-68.9121,1461,2.57
Koraal Partier,12.1485,-68.8342,1482,2.6
Montaña Rey,12.1053,-68.8425,1926,2.7
Seru Grandi,12.0868,-68.8206,805,2.83
Spaanse Water,12.0736,-68.8383,1244,2.47
Oostpunt,12.0924,-68.8,195,2.8
