VolgNR,Geozone,LAT,LON,Total_pop,Area_km2,Pop_density_km2
1,Westpunt,12.3699,-69.1356,738,13.7,54
2,Lagun,12.3554,-69.141,321,11.7,28
3,Christoffel,12.3318,-69.1046,40,31.8,1
4,Flip,12.3065,-69.1033,601,3,201
5,Tera Pretu,12.2984,-69.1422,271,9.6,28
6,Lelienberg,12.3044,-69.0877,1101,4,278
7,Soto,12.2793,-69.1178,2233,18.4,121
8,Pannekoek,12.2508,-69.0909,365,14,26
9,Wacao,12.287,-69.062,107,23,5
10,Barber,12.2733,-69.074,2412,9,268
11,St. Willibrordus,12.2176,-69.0607,588,23.5,25
12,Tera Cora,12.2215,-69.0278,4388,19.2,228
13,Meiberg,12.1921,-69.0168,0,5.3,0
14,Souax,12.1807,-68.9752,5114,4.4,1161
15,St. Michiel,12.1568,-68.9867,5732,17.9,319
16,Piscadera Baai,12.1323,-68.966,787,3.6,217
17,Hato,12.2127,-69.0009,45,14.7,3
18,Fortuna,12.175,-68.9337,3187,2.3,1404
19,Rancho,12.1686,-68.8996,3384,7.9,430
20,Ronde Klip,12.1568,-68.8589,715,10.3,69
21,Brievengat,12.1558,-68.8868,4695,4.9,952
22,Maria Maai,12.1552,-68.9103,1266,1.1,1203
23,Muizenberg,12.1644,-68.9187,2750,3.2,852
24,Stenen Koraal,12.1634,-68.9358,4251,2.7,1603
25,Mahuma,12.177,-68.9531,6242,5,1251
26,Groot Piscadera,12.1531,-68.9626,2822,3.5,816
27,Paradijs,12.1457,-68.9577,2245,1.7,1300
28,Wanapa,12.1524,-68.944,4239,1.8,2367
29,Buena Vista,12.1447,-68.935,4687,1.9,2469
30,Kanga/Dein,12.1537,-68.9335,2261,1.1,2130
31,Suffisant,12.1514,-68.9229,3503,1.7,2074
32,Mon Repos,12.1436,-68.9212,3317,2,1621
33,Bonam,12.1432,-68.8807,8101,4.8,1694
34,Rosendaal,12.1382,-68.9462,1923,1.5,1298
35,Asiento,12.1315,-68.9268,0,6.3,0
36,Groot Kwartier,12.1371,-68.9114,2611,2.4,1077
37,Mahaai,12.1305,-68.8969,2776,2.9,960
38,Sta. Rosa,12.1288,-68.8706,5198,4.5,1161
39,Kwarchi,12.1231,-68.8581,2255,1.7,1314
40,Montaña Abou,12.1125,-68.8646,4382,2.3,1897
41,Labadera,12.1243,-68.8808,2627,1.6,1622
42,Seru Lora,12.1141,-68.8862,2818,4.8,591
43,Zeelandia,12.1186,-68.9059,685,1.7,400
44,Nieuwe Haven,12.1186,-68.9123,0,0.6,0
45,Dok,12.1223,-68.9158,0,0.3,0
46,Schottegat,12.1172,-68.9308,0,3.3,0
47,Wishi,12.1289,-68.9533,2042,1,1984
48,Habaai,12.12,-68.9503,1227,0.6,2037
49,Mundo Nobo,12.116,-68.9569,2610,2.2,1205
50,Domi,12.1163,-68.9441,1247,1.1,1107
51,Otrobanda,12.111,-68.937,1369,1.2,1112
52,Punda,12.1041,-68.9323,99,0.4,279
53,Scharloo,12.1069,-68.9289,523,0.5,1019
54,Parera,12.9261,-68.9261,247,1.2,213
55,Berg Altena,12.1032,-68.9187,2760,0.8,3555
56,Saliña,12.1002,-68.9043,2538,2,1256
57,Dominguito,12.1008,-68.8885,3101,2.3,1350
58,Rooi Santu,12.099,-68.8643,2791,3.9,715
59,Koraal Specht,12.0905,-68.8936,3064,2.5,1215
60,Steenrijk,12.0973,-68.9121,3752,1.1,3567
61,Koraal Partier,12.1485,-68.8342,3958,9.9,399
62,Montaña Rey,12.1053,-68.8425,5307,3.7,1430
63,Seru Grandi,12.0868,-68.8206,2277,6.2,367
64,Spaanse Water,12.0736,-68.8383,3119,21,149
65,Oostpunt,12.0924,-68.8,555,54.2,10
66,Santa maria,12.1645,-68.9376,8101,4.7,1693
